acc,loss,val_acc,val_loss,epochs
0.7315537333488464,0.924717366695404,0.9521670341491699,0.18835949897766113,1
0.9793943166732788,0.060532551258802414,0.9683136940002441,0.11393512785434723,2
0.9860547184944153,0.043105486780405045,0.9842175841331482,0.060247961431741714,3
0.9881881475448608,0.0364181250333786,0.9989073872566223,0.004881612956523895,4
0.9904256463050842,0.029607396572828293,0.9952652454376221,0.018435031175613403,5
0.9913622736930847,0.028342677280306816,0.9986645579338074,0.0032522391993552446,6
0.9925070405006409,0.02245081216096878,0.9970863461494446,0.008150470443069935,7
0.9916224479675293,0.030357545241713524,0.994779646396637,0.014326649717986584,8
0.9940680861473083,0.02408113330602646,0.9972077012062073,0.006725000683218241,9
0.9951607584953308,0.01712782308459282,0.9986645579338074,0.004822966177016497,10
0.9944843649864197,0.022268466651439667,0.9975719451904297,0.007695523556321859,11
